Date,Depth,PPR(mgC*m3*h)
6/4/2014,0,0.514
6/4/2014,1,1.439
6/4/2014,3,3.019
6/4/2014,5,3.098
6/4/2014,7.5,1.56
6/4/2014,10,1.322
6/19/2014,0,1.189
6/19/2014,1,0.77
6/19/2014,3,1.353
6/19/2014,5,1.743
6/19/2014,7.5,1.861
6/19/2014,10,0.69
6/25/2014,0,0.852
6/25/2014,1,1.223
6/25/2014,3,1.51
6/25/2014,5,1.689
6/25/2014,7.5,1.108
6/25/2014,10,0.549
7/2/2014,0,0.394
7/2/2014,1,0.608
7/2/2014,3,0.893
7/2/2014,5,1.14
7/2/2014,7.5,0.997
7/2/2014,10,0.726
7/9/2014,0,0.291
7/9/2014,1,0.588
7/9/2014,3,0.868
7/9/2014,5,1.379
7/9/2014,7.5,1.483
7/9/2014,10,1.851
7/16/2014,0,0.749
7/16/2014,1,0.758
7/16/2014,3,1.085
7/16/2014,5,2.205
7/16/2014,7.5,1.701
7/16/2014,10,1.27
7/30/2014,0,0.337
7/30/2014,1,1.074
7/30/2014,3,2.44
7/30/2014,5,2.97
7/30/2014,7.5,2.018
7/30/2014,10,0.64
8/6/2014,0,0.886
8/6/2014,1,2.192
8/6/2014,3,3.754
8/6/2014,5,4.007
8/6/2014,7.5,2.021
8/6/2014,10,1.761
8/23/2014,0,0.382
8/23/2014,1,1.175
8/23/2014,3,2.525
8/23/2014,5,3.939
8/23/2014,7.5,2.234
8/23/2014,10,1.952
6/3/2015,0,1.588
6/3/2015,1,2.09
6/3/2015,3,2.248
6/3/2015,5,2.146
6/3/2015,7.5,0.59
6/3/2015,10,0.771
6/17/2015,0,0.36
6/17/2015,1,1.06
6/17/2015,3,0.998
6/17/2015,5,1.12
6/17/2015,7.5,0.66
6/17/2015,10,1.03
6/24/2015,0,0.298
6/24/2015,1,0.675
6/24/2015,3,0.685
6/24/2015,5,0.736
6/24/2015,7.5,0.62
6/24/2015,10,0.851
7/1/2015,0,0.481
7/1/2015,1,0.625
7/1/2015,3,0.7
7/1/2015,5,1.03
7/1/2015,7.5,0.67
7/1/2015,10,1.222
7/15/2015,0,0.38
7/15/2015,1,1.18
7/15/2015,3,1.72
7/15/2015,5,1.37
7/15/2015,7.5,1.303
7/15/2015,10,1.027
7/29/2015,0,0.424
7/29/2015,1,1.045
7/29/2015,3,1.669
7/29/2015,5,1.919
7/29/2015,7.5,1.406
7/29/2015,10,1.258
8/12/2015,0,0.491
8/12/2015,1,1.653
8/12/2015,3,2.289
8/12/2015,5,3.034
8/12/2015,7.5,2.274
8/12/2015,10,2.139
8/29/2015,0,0.419
8/29/2015,1,1.329
8/29/2015,3,1.479
8/29/2015,5,1.873
8/29/2015,7.5,1.489
8/29/2015,10,1.934
7/13/2016,0,1.000
7/13/2016,1,2.327
7/13/2016,3,3.792
7/13/2016,5,4.511
7/13/2016,7.5,3.393
7/13/2016,10,2.707
7/22/2016,0,0.77
7/22/2016,1,2.61
7/22/2016,3,4.338
7/22/2016,5,4.797
7/22/2016,7.5,2.942
7/22/2016,10,2.412
7/27/2016,0,0.802
7/27/2016,1,1.829
7/27/2016,3,3.638
7/27/2016,5,5.476
7/27/2016,7.5,4.188
7/27/2016,10,2.81
8/3/2016,0,0.584
8/3/2016,1,1.99
8/3/2016,3,3.508
8/3/2016,5,4.925
8/3/2016,7.5,4.66
8/3/2016,10,3.085
8/11/2016,0,6.055
8/11/2016,1,2.748
8/11/2016,3,4.285
8/11/2016,5,5.823
8/11/2016,7.5,4.01
8/11/2016,10,2.778
8/17/2016,0,1.527
8/17/2016,1,2.168
8/17/2016,3,4.076
8/17/2016,5,5.342
8/17/2016,7.5,3.297
8/17/2016,10,2.29
8/24/2016,0,0.897
8/24/2016,1,2.501
8/24/2016,3,5.091
8/24/2016,5,5.811
8/24/2016,7.5,3.347
8/24/2016,10,2.4
8/2/2017,0,1.422
8/2/2017,1,2.008
8/2/2017,3,4.495
8/2/2017,5,5.736
8/2/2017,7.5,3.676
8/2/2017,10,2.385
8/17/2017,0,1.072
8/17/2017,1,3.068
8/17/2017,3,5.327
8/17/2017,5,5.247
8/17/2017,7.5,3.771
8/17/2017,10,2.241
8/23/2017,0,1.484
8/23/2017,1,3.5
8/23/2017,3,6.524
8/23/2017,5,4.652
8/23/2017,7.5,3.311
8/23/2017,10,2.205
